id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
301,Ruben Amorim,1,27,1985,5,10,Midfielder,,
302,Manuel Amoros,2,1,1962,,,Defender,,
303,Tom Amrhein,1,1,1911,,,Midfielder,,
304,Roald Amundsen,6,1,1903,,,Defender,,
305,Emmanuel Amunike,12,25,1970,,,Midfielder,,
306,Gharib Amzine,5,3,1973,,,Midfielder,,
307,Chol Hyok An,6,27,1987,5,10,Forward,,
308,Ik Soo An,5,6,1965,,,Defender,,
309,Qi An,6,21,1981,6,3,Goalkeeper,,
310,Se Bok An,10,29,1946,,,Forward,,
311,Yong Hak An,10,25,1978,5,11,Midfielder,,
312,Pietro Anastasi,4,7,1948,,,Forward,,
313,Carlo Ancelotti,6,10,1959,,,Midfielder,,
314,Atilio Ancheta,7,19,1948,,,Defender,,
315,William Andem,6,14,1968,,,Goalkeeper,,
316,Willem Anderiesen,11,27,1903,,,Midfielder,,
317,Henrik Andersen,5,7,1965,,,Defender,,
318,Oddmund Andersen,12,21,1915,,,Defender,,
319,Stephan Andersen,11,26,1981,6,2,Goalkeeper,,
320,John Anderson,12,8,1929,,,Goalkeeper,,
321,Stan Anderson,2,27,1934,,,Midfielder,,
322,Viv Anderson,7,29,1956,,,Defender,,
323,Anderson Polga,2,9,1979,5,11,Defender,,
324,Ake Andersson,4,22,1917,,,Forward,,
325,Andreas Andersson,4,10,1974,6,0,Forward,,
326,Bjorn Andersson,7,20,1951,,,Defender,,
327,Daniel Andersson,8,28,1977,5,10,Midfielder,,
328,Ernst Andersson,3,26,1909,,,Midfielder,,
329,Harry Andersson,3,7,1913,,,Forward,,
330,Kennet Andersson,10,6,1967,,,Forward,,
331,Magnus Andersson,4,23,1958,,,Defender,,
332,Otto Andersson,5,7,1910,,,Defender,,
333,Patrik Andersson,8,18,1971,6,0,Defender,,
334,Roland Andersson,3,28,1950,,,Defender,,
335,Roy Andersson,8,2,1949,,,Defender,,
336,Sune Andersson,2,27,1921,,,Defender,,
337,Sven Andersson,2,14,1907,,,Defender,,
338,Sven Andersson,10,6,1963,,,Goalkeeper,,
339,Darren Anderton,3,3,1972,6,1,Midfielder,,
340,Nouma Andoire,3,19,1908,,,Defender,,
