cid,cup_year,standing,stage,points,win,draw,loss,goals_scored,goals_against
2,2014,1,Final Game,19,6,1,0,18,4
36,2006,13,Round of 16,6,2,0,2,4,6
36,2010,7,Quarter Finals,8,2,2,1,5,4
36,2014,25,1st Round Groups,1,0,1,2,4,6
49,1994,24,1st Round Groups,0,0,0,3,0,10
49,2010,25,1st Round Groups,3,1,0,2,2,5
49,2014,13,Round of 16,5,1,2,1,3,5
75,1974,15,1st Round Groups,0,0,0,3,2,14
8,1934,9,Round of 16,0,0,0,1,2,3
8,1938,14,Round of 16,0,0,0,1,0,3
8,1974,2,Final Game,11,5,1,1,15,3
8,1978,2,Final Game,8,3,2,2,15,10
8,1990,15,Round of 16,3,0,3,1,3,4
8,1994,7,Quarter Finals,9,3,0,2,8,6
8,1998,4,3rd Place Game,12,3,3,1,13,7
8,2006,11,Round of 16,7,2,1,1,3,2
8,2010,2,Final Game,18,6,0,1,12,6
8,2014,3,3rd Place Game,17,5,2,0,15,4
62,1982,18,1st Round Groups,2,0,2,1,2,3
62,2010,30,1st Round Groups,1,0,1,2,0,3
62,2014,31,1st Round Groups,0,0,0,3,1,8
16,1934,6,Quarter Finals,2,1,0,1,5,4
16,1938,2,Final Game,6,3,0,1,15,5
16,1954,2,Final Game,8,4,0,1,27,10
16,1958,10,1st Round Groups,3,1,1,2,7,5
16,1962,5,Quarter Finals,5,2,1,1,8,3
16,1966,6,Quarter Finals,4,2,0,2,8,7
16,1978,15,1st Round Groups,0,0,0,3,3,8
16,1982,14,1st Round Groups,3,1,1,1,12,6
16,1986,18,1st Round Groups,2,1,0,2,2,9
72,1938,15,Round of 16,0,0,0,1,0,6
54,1978,14,1st Round Groups,1,0,1,2,2,8
54,1998,20,1st Round Groups,3,1,0,2,2,4
54,2006,26,1st Round Groups,1,0,1,2,2,6
54,2014,28,1st Round Groups,1,0,1,2,1,4
69,1986,23,1st Round Groups,0,0,0,3,1,4
38,1990,8,Quarter Finals,4,0,4,1,2,3
38,1994,16,Round of 16,4,1,1,2,2,4
38,2002,12,Round of 16,6,1,3,0,6,3
64,1970,12,1st Round Groups,2,0,2,1,1,3
3,1934,1,Final Game,9,4,1,0,12,3
